,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.012268518518518519,0.012268518518518519,0.013804280656070565,0.013804280656070565,0.02035828682554458,0.02035828682554458
1,1-2,0.028703703703703703,0.04097222222222222,0.030037531771569866,0.04384181242764043,0.03783038480895095,0.05818867163449553
2,2-3,0.056018518518518516,0.09699074074074074,0.046092268284756745,0.08993408071239717,0.05328801196470552,0.11147668359920104
3,3-4,0.06527777777777778,0.16226851851851853,0.06060380663515415,0.1505378873475513,0.0660000487138153,0.17747673231301636
4,4-5,0.06273148148148149,0.22500000000000003,0.07254004338455318,0.22307793073210447,0.07546944278585199,0.25294617509886835
5,5-6,0.05023148148148148,0.2752314814814815,0.08117896733157155,0.304256898063676,0.08146186950010292,0.3344080445989713
6,6-7,0.04537037037037037,0.3206018518518519,0.08613582210948469,0.3903927201731607,0.0840049228469448,0.41841296744591605
7,7-8,0.053009259259259256,0.37361111111111117,0.08737046062344422,0.4777631807966049,0.08336030021619979,0.5017732676621158
8,8-9,0.06759259259259259,0.44120370370370376,0.08515972386099778,0.5629229046576026,0.07997492648475459,0.5817481941468704
9,9-10,0.0798611111111111,0.5210648148148149,0.08003619368023761,0.6429590983378403,0.0744191998659848,0.6561673940128552
10,10-11,0.08726851851851852,0.6083333333333334,0.07270308498609622,0.7156621833239365,0.06732128527280123,0.7234886792856564
11,11-12,0.08449074074074074,0.6928240740740741,0.0639391803415193,0.7796013636654557,0.0593056868018174,0.7827943660874738
12,12-13,0.07777777777777778,0.7706018518518518,0.054508259438329994,0.8341096231037858,0.05094251056419387,0.8337368766516676
13,13-14,0.0699074074074074,0.8405092592592592,0.045085048595377195,0.879194671699163,0.04271135280648282,0.8764482294581505
14,14-15,0.04236111111111111,0.8828703703703703,0.036205304623069916,0.9153999763222329,0.034981129165739165,0.9114293586238896
15,15-16,0.0349537037037037,0.917824074074074,0.028242492055327976,0.9436424683775609,0.02800484795866397,0.9394342065825536
16,16-17,0.04097222222222222,0.9587962962962961,0.02140880550479335,0.9650512738823542,0.02192663361122775,0.9613608401937813
17,17-18,0.027777777777777776,0.9865740740740739,0.015774907055265512,0.9808261809376198,0.016797364784929235,0.9781582049787105
18,18-19,0.012037037037037037,0.998611111111111,0.011301103080232317,0.9921272840178521,0.012595083308284063,0.9907532882869946
19,19-20,0.001388888888888889,0.9999999999999999,0.007872715982147675,0.9999999999999998,0.009246711713005312,0.9999999999999999
