,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.032034050179211467,0.032034050179211467,0.0166508988334555,0.0166508988334555,0.026981724812246147,0.026981724812246147
1,1-2,0.03875448028673835,0.07078853046594982,0.03370357983830416,0.050354478671759656,0.04227094091124679,0.06925266572349294
2,2-3,0.06630824372759857,0.13709677419354838,0.04949902497002213,0.09985350364178178,0.055577479456540124,0.12483014518003306
3,3-4,0.046370967741935484,0.18346774193548387,0.06305897447481568,0.16291247811659745,0.06636830099811658,0.19119844617814963
4,4-5,0.034274193548387094,0.21774193548387097,0.07368177170320853,0.23659424981980598,0.07429877185128517,0.2654972180294348
5,5-6,0.029345878136200716,0.24708781362007168,0.0809447384501575,0.31753898826996346,0.07922736736039131,0.34472458538982614
6,6-7,0.030689964157706095,0.2777777777777778,0.0847110832618556,0.4022500715318191,0.08121043504217298,0.42593502043199916
7,7-8,0.04189068100358423,0.319668458781362,0.08511410529734525,0.48736417682916433,0.08047916658552037,0.5064141870175195
8,8-9,0.043682795698924734,0.36335125448028677,0.08251664807167478,0.5698808249008391,0.0774029171565537,0.5838171041740732
9,9-10,0.06653225806451613,0.4298835125448029,0.07745139638888122,0.6473322212897203,0.07244424716203055,0.6562613513361037
10,10-11,0.09408602150537634,0.5239695340501792,0.07055088806549688,0.7178831093552173,0.06611143514375074,0.7223727864798545
11,11-12,0.1153673835125448,0.639336917562724,0.06247691426151818,0.7803600236167354,0.05891376467699722,0.7812865511568517
12,12-13,0.10864695340501793,0.747983870967742,0.053857922214879166,0.8342179458316146,0.051323795546824535,0.8326103467036763
13,13-14,0.09632616487455196,0.8443100358422939,0.04524068152934786,0.8794586273609625,0.04374934401246469,0.876359690716141
14,14-15,0.08378136200716846,0.9280913978494624,0.03705947992307621,0.9165181072840387,0.03651629765338381,0.9128759883695248
15,15-16,0.04726702508960574,0.9753584229390682,0.029623119599560956,0.9461412268835997,0.02986192857166328,0.942737916941188
16,16-17,0.01971326164874552,0.9950716845878137,0.023117513127381153,0.9692587400109809,0.023937229646810956,0.966675146587999
17,17-18,0.004256272401433692,0.9993279569892474,0.017620049227532845,0.9868787892385137,0.01881608113808623,0.9854912277260852
18,18-19,0.0006720430107526882,1.0,0.013121210761486287,1.0,0.014508772273914927,1.0000000000000002
