,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.015277777777777777,0.015277777777777777,0.011387918351184082,0.011387918351184082,0.023085511284323096,0.023085511284323096
1,1-2,0.037037037037037035,0.052314814814814814,0.027448694546202697,0.03883661289738678,0.041797219396312056,0.06488273068063516
2,2-3,0.05023148148148148,0.1025462962962963,0.04474560825701119,0.08358222115439798,0.058113832676962476,0.12299656335759764
3,3-4,0.059953703703703703,0.1625,0.06135001930665856,0.14493224046105654,0.0712198528842271,0.19421641624182473
4,4-5,0.04189814814814815,0.20439814814814816,0.075668030715058,0.22060027117611453,0.08059302866403159,0.27480944490585635
5,5-6,0.04675925925925926,0.25115740740740744,0.08644510403504642,0.30704537521116093,0.08603321101938008,0.36084265592523646
6,6-7,0.049305555555555554,0.300462962962963,0.09286474947188267,0.3999101246830436,0.08765280782381656,0.448495463749053
7,7-8,0.06273148148148149,0.3631944444444445,0.09462109007811015,0.49453121476115375,0.08583343135240264,0.5343288951014556
8,8-9,0.0738425925925926,0.4370370370370371,0.0919252433487778,0.5864564581099315,0.08115786764579141,0.6154867627472471
9,9-10,0.09351851851851851,0.5305555555555557,0.08543647534776147,0.671892933457693,0.07432905637992156,0.6898158191271687
10,10-11,0.10555555555555556,0.6361111111111112,0.076130753977685,0.748023687435378,0.06608811508748412,0.7559039342146529
11,11-12,0.1111111111111111,0.7472222222222222,0.06513415116652453,0.8131578386019025,0.05714179924888941,0.8130457334635423
12,12-13,0.08356481481481481,0.830787037037037,0.053554743655951,0.8667125822578535,0.04810674464983783,0.8611524781133801
13,13-14,0.0625,0.893287037037037,0.04234372151176648,0.90905630376962,0.03947415630952225,0.9006266344229024
14,14-15,0.047685185185185185,0.9409722222222222,0.032206205902884165,0.9412625096725041,0.031595045824130266,0.9322216802470327
15,15-16,0.03217592592592593,0.9731481481481481,0.023568533783268373,0.9648310434557725,0.024683267889657023,0.9569049481366897
16,16-17,0.019212962962962963,0.992361111111111,0.01659573647129669,0.9814267799270692,0.01883180429197596,0.9757367524286656
17,17-18,0.006481481481481481,0.9988425925925926,0.011243967819738987,0.9926707477468082,0.014037057373988365,0.9897738098026541
18,18-19,0.0011574074074074073,1.0,0.007329252253191975,1.0000000000000002,0.010226190197346316,1.0000000000000004
