,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.010185185185185186,0.010185185185185186,0.0029547930870322714,0.0029547930870322714,0.016000182931252438,0.016000182931252438
1,1-2,0.025694444444444443,0.03587962962962963,0.010230847988117202,0.013185641075149473,0.03189806478121199,0.047898247712464426
2,2-3,0.03449074074074074,0.07037037037037036,0.020908115163037873,0.03409375623818735,0.046287237960275146,0.09418548567273957
3,3-4,0.033796296296296297,0.10416666666666666,0.03412498149851993,0.06821873773670728,0.05854616347739622,0.1527316491501358
4,4-5,0.02638888888888889,0.13055555555555554,0.04879655852112184,0.11701529625782911,0.06821570851357735,0.22094735766371315
5,5-6,0.027777777777777776,0.15833333333333333,0.06359868776298416,0.18061398402081327,0.07502603878533341,0.2959733964490466
6,6-7,0.03958333333333333,0.19791666666666666,0.07706058405086745,0.2576745680716807,0.07890430238182672,0.3748776988308733
7,7-8,0.04652777777777778,0.24444444444444444,0.08773635676898271,0.34541092484066344,0.07996360865824467,0.454841307489118
8,8-9,0.06296296296296296,0.3074074074074074,0.09442073378704564,0.43983165862770907,0.07847604880402691,0.5333173562931449
9,9-10,0.07546296296296297,0.38287037037037036,0.09635960612791249,0.5361912647556215,0.07483418529087556,0.6081515415840205
10,10-11,0.10185185185185185,0.4847222222222222,0.09339906145107796,0.6295903262066995,0.0695063538307555,0.6776578954147761
11,11-12,0.1136574074074074,0.5983796296296297,0.08602559817772651,0.715615924384426,0.06299121749529822,0.7406491129100743
12,12-13,0.10949074074074074,0.7078703703703704,0.07527652979772521,0.7908924541821513,0.05577637221407546,0.7964254851241498
13,13-14,0.1011574074074074,0.8090277777777778,0.06253659090987405,0.8534290450920253,0.04830461854039071,0.8447301036645405
14,14-15,0.0863425925925926,0.8953703703703704,0.04927162841015903,0.9027006735021843,0.04095003925109706,0.8856801429156376
15,15-16,0.05393518518518518,0.9493055555555555,0.036769214517196946,0.9394698880193812,0.03400451636591311,0.9196846592815506
16,16-17,0.027777777777777776,0.9770833333333333,0.0259509536495326,0.9654208416689138,0.02767400612618298,0.9473586654077336
17,17-18,0.016898148148148148,0.9939814814814815,0.017294232525508095,0.982715074194422,0.022082917961357033,0.9694415833690907
18,18-19,0.004861111111111111,0.9988425925925926,0.010863785333751508,0.9935788595281735,0.01728438239011448,0.9867259657592051
19,19-20,0.0011574074074074073,1.0,0.00642114047182656,1.0,0.013274034240795072,1.0000000000000002
