,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.03651433691756272,0.03651433691756272,0.03704746894846717,0.03704746894846717,0.039540737675716225,0.039540737675716225
1,1-2,0.05197132616487455,0.08848566308243727,0.06338433494991859,0.10043180389838577,0.061304035641928066,0.1008447733176443
2,2-3,0.07840501792114696,0.16689068100358423,0.08254761456189094,0.1829794184602767,0.07875692546220424,0.17960169877984855
3,3-4,0.08243727598566308,0.2493279569892473,0.09470701771538069,0.2776864361756574,0.09097086828513366,0.27057256706498223
4,4-5,0.06922043010752688,0.3185483870967742,0.10026807240817796,0.3779545085838354,0.09759067193151916,0.3681632389965014
5,5-6,0.051075268817204304,0.3696236559139785,0.10003857579475409,0.47799308437858945,0.09882067379665607,0.46698391279315743
6,6-7,0.06406810035842293,0.4336917562724014,0.0951386161431274,0.5731317005217168,0.09533482895753584,0.5623187417506933
7,7-8,0.07862903225806452,0.5123207885304659,0.08684747368728966,0.6599791742090064,0.08813409011353326,0.6504528318642265
8,8-9,0.08534946236559139,0.5976702508960573,0.07644851701860043,0.7364276912276069,0.07838100599929262,0.7288338378635192
9,9-10,0.08378136200716846,0.6814516129032258,0.06510214573786248,0.8015298369654693,0.06724105520663491,0.7960748930701541
10,10-11,0.0846774193548387,0.7661290322580645,0.05376078467625818,0.8552906216417275,0.05575400215977885,0.851828895229933
11,11-12,0.08490143369175628,0.8510304659498208,0.043128438820987366,0.8984190604627149,0.04474886801757541,0.8965777632475084
12,12-13,0.07997311827956989,0.9310035842293907,0.033659237872171344,0.9320782983348863,0.034805712108215085,0.9313834753557234
13,13-14,0.050627240143369175,0.9816308243727598,0.02558474634668622,0.9576630446815725,0.026258694359578616,0.957642169715302
14,14-15,0.015008960573476702,0.9966397849462365,0.018958305284181288,0.9766213499657538,0.019229300509960485,0.9768714702252626
15,15-16,0.00246415770609319,0.9991039426523297,0.013705597174996616,0.9903269471407504,0.013676551938936495,0.990548022164199
16,16-17,0.0008960573476702509,1.0,0.009673052859249617,1.0,0.009451977835800878,0.9999999999999999
