,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.009408602150537635,0.009408602150537635,0.007128708394792239,0.007128708394792239,0.017875800245610307,0.017875800245610307
1,1-2,0.029345878136200716,0.03875448028673835,0.018977202167736726,0.026105910562528964,0.03454249566569537,0.05241829591130568
2,2-3,0.05152329749103943,0.09027777777777778,0.03302003573138034,0.059125946293909305,0.049476354983819124,0.10189465089512481
3,3-4,0.04704301075268817,0.13732078853046595,0.04776256962500669,0.10688851591891599,0.06200122167218246,0.16389587256730725
4,4-5,0.041666666666666664,0.1789874551971326,0.06184653242556864,0.16873504834448463,0.07163513973247013,0.23553101229977738
5,5-6,0.040098566308243724,0.21908602150537632,0.07402706999036711,0.24276211833485173,0.07811874101105117,0.31364975331082856
6,6-7,0.04121863799283154,0.26030465949820786,0.08326359967590884,0.3260257180107606,0.08141987108240113,0.3950696243932297
7,7-8,0.04838709677419355,0.3086917562724014,0.08882760253793619,0.4148533205486968,0.08171569261269351,0.4767853170059232
8,8-9,0.06339605734767025,0.37208781362007165,0.09038433874027428,0.505237659288971,0.07935631360993682,0.55614163061586
9,9-10,0.07795698924731183,0.45004480286738346,0.08802311382386534,0.5932607731128363,0.0748159601479069,0.6309575907637669
10,10-11,0.08982974910394265,0.5398745519713262,0.08222545607733274,0.6754862291901691,0.06863861629256583,0.6995962070563327
11,11-12,0.09229390681003584,0.632168458781362,0.07377566662329435,0.7492618958134635,0.061384865750271286,0.760981072806604
12,12-13,0.0943100358422939,0.7264784946236559,0.06363145124666811,0.8128933470601316,0.05358555888258207,0.8145666316891861
13,13-14,0.08826164874551971,0.8147401433691756,0.05278065205400712,0.8656739991141388,0.04570619904239746,0.8602728307315836
14,14-15,0.08042114695340502,0.8951612903225805,0.04211147618424917,0.9077854752983879,0.0381239571766356,0.8983967879082192
15,15-16,0.05129928315412186,0.9464605734767024,0.032318112219995136,0.9401035875183831,0.031117330286339378,0.9295141181945585
16,16-17,0.03337813620071685,0.9798387096774193,0.023853328464751723,0.9639569159831348,0.024866927624943608,0.9543810458195021
17,17-18,0.014560931899641577,0.9943996415770608,0.016927914154454778,0.9808848301375896,0.019464856817697454,0.9738459026371996
18,18-19,0.00492831541218638,0.9993279569892473,0.011547044439556441,0.9924318745771461,0.014929730859091075,0.9887756334962907
19,19-20,0.0006720430107526882,1.0,0.0075681254228540705,1.0000000000000002,0.011224366503709324,1.0
