,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.0038082437275985663,0.0038082437275985663,0.001424693212904365,0.001424693212904365,0.014204594870487383,0.014204594870487383
1,1-2,0.015008960573476702,0.01881720430107527,0.006019978194742752,0.007444671407647117,0.029130607066544276,0.04333520193703166
2,2-3,0.02128136200716846,0.040098566308243724,0.013878659586105067,0.021323330993752186,0.04275099663482219,0.08608619857185384
3,3-4,0.022625448028673834,0.06272401433691756,0.0247884656271201,0.04611179662087229,0.05450311576876658,0.14058931434062044
4,4-5,0.025985663082437275,0.08870967741935483,0.03818934929038216,0.08430114591125445,0.06395962357595657,0.20454893791657702
5,5-6,0.03293010752688172,0.12163978494623655,0.05312594465971273,0.1374270905709672,0.07085312179165372,0.27540205970823073
6,6-7,0.04435483870967742,0.16599462365591397,0.0682623988171458,0.205689489388113,0.0750853096503662,0.3504873693585969
7,7-8,0.0625,0.22849462365591397,0.0819911539452513,0.2876806433333643,0.07672072958114781,0.42720809893974476
8,8-9,0.07280465949820789,0.30129928315412186,0.09264392556749626,0.3803245689008605,0.07596695345615237,0.5031750523958971
9,9-10,0.08064516129032258,0.3819444444444444,0.09878005684423187,0.4791046257450924,0.07314445774975098,0.5763195101456481
10,10-11,0.08646953405017921,0.46841397849462363,0.09949079998210417,0.5785954257271966,0.06865028783510721,0.6449697979807553
11,11-12,0.10080645161290322,0.5692204301075269,0.09463260637317561,0.6732280321003722,0.06291985029919017,0.7078896482799455
12,12-13,0.11021505376344086,0.6794354838709677,0.08490461487251502,0.7581326469728872,0.056390833255862076,0.7642804815358075
13,13-14,0.09408602150537634,0.7735215053763441,0.07172368803358913,0.8298563350064763,0.0494724584582697,0.8137529399940773
14,14-15,0.0817652329749104,0.8552867383512546,0.056916444324687704,0.8867727793311639,0.04252218972500796,0.8562751297190853
15,15-16,0.06474014336917562,0.9200268817204302,0.04231608205772625,0.9290888613888902,0.035830851516664444,0.8921059812357497
16,16-17,0.04614695340501792,0.9661738351254482,0.029389734267460027,0.9584785956563503,0.029616024508128874,0.9217220057438785
17,17-18,0.019489247311827957,0.9856630824372762,0.019008380907379076,0.9774869765637294,0.024022714301137737,0.9457447200450163
18,18-19,0.010080645161290322,0.9957437275985666,0.011410798377622055,0.9888977749413514,0.019129711182774928,0.9648744312277913
19,19-20,0.0031362007168458782,0.9988799283154124,0.0063359239613067575,0.9952336989026582,0.014959791244037781,0.979834222471829
20,20-21,0.0008960573476702509,0.9997759856630827,0.0032424888772377087,0.9984761877798959,0.011491921218649925,0.991326143690479
21,21-22,0.00022401433691756272,1.0000000000000002,0.001523812220103955,0.9999999999999999,0.008673856309521048,1.0
