,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.01478494623655914,0.01478494623655914,0.027402039050895804,0.027402039050895804,0.030447433069091222,0.030447433069091222
1,1-2,0.055331541218637995,0.07011648745519714,0.05209514215204358,0.07949718120293939,0.05373807427537039,0.08418550734446162
2,2-3,0.08310931899641577,0.1532258064516129,0.07259711335242287,0.15209429455536227,0.07307369340113572,0.15725920074559735
3,3-4,0.09475806451612903,0.24798387096774194,0.08769588327360675,0.23979017782896903,0.08728812047801175,0.24454732122360912
4,4-5,0.07101254480286738,0.31899641577060933,0.09678915362948945,0.3365793314584585,0.09580660860642494,0.34035392983003404
5,5-6,0.05734767025089606,0.3763440860215054,0.09992057601686798,0.43649990747532647,0.09866191369738832,0.43901584352742234
6,6-7,0.05600358422939068,0.43234767025089604,0.09770376596346064,0.5342036734387872,0.09642164881561555,0.5354374923430378
7,7-8,0.0678763440860215,0.5002240143369175,0.09117055733721831,0.6253742307760055,0.09004893689439586,0.6254864292374337
8,8-9,0.08490143369175628,0.5851254480286738,0.08158160249091403,0.7069558332669196,0.0807281498680804,0.7062145791055141
9,9-10,0.0817652329749104,0.6668906810035842,0.07023721468905,0.7771930479559696,0.0696893460390305,0.7759039251445446
10,10-11,0.0913978494623656,0.7582885304659498,0.05831931794116597,0.8355123658971355,0.05805963516186608,0.8339635603064107
11,11-12,0.08198924731182795,0.8402777777777778,0.04678352564282232,0.8822958915399578,0.04675953145056215,0.8807230917569728
12,12-13,0.06586021505376344,0.9061379928315412,0.036307157990655044,0.9186030495306129,0.03645057069751513,0.917173662454488
13,13-14,0.047491039426523295,0.9536290322580645,0.027287630442360978,0.9458906799729738,0.027530008730398303,0.9447036711848863
14,14-15,0.025313620071684587,0.9789426523297491,0.01987816960268576,0.9657688495756596,0.020161266496825713,0.964864937681712
15,15-16,0.011872759856630824,0.9908154121863799,0.014044873285171315,0.9798137228608309,0.014325668273398137,0.9791906059551101
16,16-17,0.005824372759856631,0.9966397849462365,0.009630121374411969,0.9894438442352429,0.009881526571528089,0.9890721325266382
17,17-18,0.002240143369175627,0.9988799283154122,0.006410907068510889,0.9958547513037538,0.006619623095582391,0.9956917556222206
18,18-19,0.0011200716845878136,1.0,0.004145248696246122,0.9999999999999999,0.004308244377779594,1.0000000000000002
