,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.008564814814814815,0.008564814814814815,0.00942853576970984,0.00942853576970984,0.0211223223230931,0.0211223223230931
1,1-2,0.014583333333333334,0.023148148148148147,0.02431749077859588,0.03374602654830572,0.04051339264202857,0.06163571496512167
2,2-3,0.037037037037037035,0.06018518518518518,0.04132562793698657,0.0750716544852923,0.057510620038941085,0.11914633500406276
3,3-4,0.06712962962962964,0.12731481481481483,0.05843620257587034,0.13350785706116264,0.0712287334545766,0.19037506845863936
4,4-5,0.08425925925925926,0.21157407407407408,0.07386281605669694,0.20737067311785956,0.08109157157366954,0.2714666400323089
5,5-6,0.06851851851851852,0.2800925925925926,0.08607669087849289,0.29344736399635246,0.08686660671009667,0.3583332467424056
6,6-7,0.05925925925925926,0.3393518518518519,0.09395405825074529,0.3874014222470977,0.08865713306252557,0.44699037980493117
7,7-8,0.06712962962962964,0.40648148148148155,0.09690960695474211,0.4843110292018398,0.08685686103540526,0.5338472408403364
8,8-9,0.062037037037037036,0.4685185185185186,0.09495786617858801,0.5792688953804278,0.08207688892930783,0.6159241297696443
9,9-10,0.07222222222222222,0.5407407407407409,0.08867764101027259,0.6679465363907005,0.0750580192129382,0.6909821489825825
10,10-11,0.09583333333333334,0.6365740740740742,0.07908356400531136,0.7470301003960118,0.0665818463807998,0.7575639953633823
11,11-12,0.08865740740740741,0.7252314814814815,0.06743348662212906,0.8144635870181409,0.057392216488562596,0.8149562118519449
12,12-13,0.08680555555555555,0.8120370370370371,0.05501545778985958,0.8694790448080005,0.048135218844314674,0.8630914306962596
13,13-14,0.07291666666666667,0.8849537037037037,0.04295977391088457,0.9124388187188851,0.039321706951719965,0.9024131376479796
14,14-15,0.05578703703703704,0.9407407407407408,0.03211058326802712,0.9445494019869122,0.03131233550506148,0.9337254731530411
15,15-16,0.032407407407407406,0.9731481481481482,0.02297246374508049,0.9675218657319926,0.024321922977326823,0.9580473961303679
16,16-17,0.018287037037037036,0.9914351851851853,0.015727113618343717,0.9832489793503363,0.01843798357768258,0.9764853797080505
17,17-18,0.006481481481481481,0.9979166666666668,0.010300090287263877,0.9935490696376001,0.01364758044351398,0.9901329601515645
18,18-19,0.0020833333333333333,1.0000000000000002,0.006450930362399909,1.0,0.00986703984843558,1.0
