,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.02658045977011494,0.02658045977011494,0.047993868641510694,0.047993868641510694,0.04280325231303161,0.04280325231303161
1,1-2,0.07902298850574713,0.10560344827586207,0.076410094107331,0.12440396274884169,0.06753744573525813,0.11034069804828975
2,2-3,0.10775862068965517,0.21336206896551724,0.09450159807909303,0.21890556082793472,0.08676562282183803,0.19710632087012778
3,3-4,0.09818007662835249,0.3115421455938697,0.1037328213986236,0.32263838222655833,0.09935366349069187,0.29645998436081966
4,4-5,0.07231800766283525,0.383860153256705,0.10547289948570729,0.42811128171226565,0.10500137133966789,0.4014613557004876
5,5-6,0.06896551724137931,0.4528256704980843,0.10130069149741733,0.5294119732096829,0.10419197819621139,0.505653333896699
6,6-7,0.06130268199233716,0.5141283524904214,0.09289897224464393,0.6223109454543269,0.09802252153409471,0.6036758554307937
7,7-8,0.07327586206896551,0.587404214559387,0.08188989118736624,0.7042008366416931,0.08796232280222577,0.6916381782330194
8,8-9,0.0835727969348659,0.6709770114942528,0.06969632821020559,0.7738971648518986,0.07559487617089411,0.7672330544039135
9,9-10,0.08117816091954023,0.752155172413793,0.057455133230490195,0.8313522980823889,0.06239245167287494,0.8296255060767885
10,10-11,0.07327586206896551,0.8254310344827586,0.04598473019377572,0.8773370282761646,0.04955653905466701,0.8791820451314556
11,11-12,0.06728927203065134,0.89272030651341,0.035797820134349706,0.9131348484105143,0.037936930365545594,0.9171189754970012
12,12-13,0.048132183908045974,0.9408524904214559,0.027144842439039224,0.9402796908495535,0.02802368693911562,0.9451426624361168
13,13-14,0.031609195402298854,0.9724616858237548,0.020073292131546235,0.9603529829810997,0.019993567231481775,0.9651362296675986
14,14-15,0.016044061302681992,0.9885057471264368,0.014490270696768745,0.9748432536778685,0.013787231939390134,0.9789234616069887
15,15-16,0.007662835249042145,0.9961685823754789,0.010219301832586106,0.9850625555104546,0.009194865897189462,0.9881183275041782
16,16-17,0.0023946360153256703,0.9985632183908045,0.007046311803244697,0.9921088673136993,0.005933474164653845,0.994051801668832
17,17-18,0.0007183908045977011,0.9992816091954022,0.004752990790838342,0.9968618581045376,0.003706347737953824,0.9977581494067859
18,18-19,0.0007183908045977011,0.9999999999999999,0.003138141895462209,0.9999999999999999,0.0022418505932145743,1.0000000000000004
