,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.009184587813620072,0.009184587813620072,0.006564636634957293,0.006564636634957293,0.017139248513387714,0.017139248513387714
1,1-2,0.01971326164874552,0.02889784946236559,0.01743687881254197,0.024001515447499264,0.03250233571990126,0.049641584233288974
2,2-3,0.03942652329749104,0.06832437275985663,0.030348143528255333,0.0543496589757546,0.04636072641089667,0.09600231064418564
3,3-4,0.05577956989247312,0.12410394265232974,0.04399519831096776,0.09834485728672235,0.05813198322663406,0.1541342938708197
4,4-5,0.05667562724014337,0.18077956989247312,0.05720358096271722,0.15554843824943956,0.06738932263984157,0.22152361651066127
5,5-6,0.04457885304659498,0.2253584229390681,0.06888850550355595,0.2244369437529955,0.07388563716236878,0.29540925367303006
6,6-7,0.03808243727598566,0.26344086021505375,0.07812014949603797,0.30255709324903346,0.07755969552955055,0.3729689492025806
7,7-8,0.03696236559139785,0.3004032258064516,0.08420937273745718,0.38676646598649067,0.07852510354021917,0.4514940527427998
8,8-9,0.05040322580645161,0.35080645161290325,0.08677877173282503,0.47354523771931567,0.07704462600022624,0.5285386787430261
9,9-10,0.06563620071684588,0.41644265232974914,0.08579809357956752,0.5593433312988831,0.07349397138313411,0.6020326501261601
10,10-11,0.07661290322580645,0.4930555555555556,0.08157345342709159,0.6409167847259747,0.06831995064839307,0.6703526007745532
11,11-12,0.09162186379928315,0.5846774193548387,0.07469047050437617,0.7156072552303508,0.06199799404006947,0.7323505948146226
12,12-13,0.09632616487455196,0.6810035842293907,0.06592141345858998,0.7815286686889409,0.05499342175614308,0.7873440165707657
13,13-14,0.08758960573476703,0.7685931899641577,0.05611371400113265,0.8376423826900735,0.047729788492653406,0.8350738050634191
14,14-15,0.09386200716845879,0.8624551971326165,0.04608012839705505,0.8837225110871285,0.0405662833422429,0.875640088405662
15,15-16,0.06093189964157706,0.9233870967741936,0.036508890072359225,0.9202314011594878,0.03378479739586036,0.9094248858015224
16,16-17,0.037410394265232974,0.9607974910394266,0.02790624626594131,0.948137647425429,0.027586069981173536,0.9370109557826959
17,17-18,0.022625448028673834,0.9834229390681004,0.02057570686325617,0.9687133542886852,0.02209342779396901,0.9591043835766649
18,18-19,0.011200716845878136,0.9946236559139785,0.014630453780018926,0.9833438080687041,0.017362103404733015,0.9764664869813979
19,19-20,0.004256272401433692,0.9988799283154122,0.010029617153755721,0.9933734252224599,0.013391955816288085,0.989858442797686
20,20-21,0.0011200716845878136,1.0,0.0066265747775400684,0.9999999999999999,0.010141557202313908,0.9999999999999999
