,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.053315412186379925,0.053315412186379925,0.07411838295864132,0.07411838295864132,0.052784042671793735,0.052784042671793735
1,1-2,0.09834229390681004,0.15165770609318996,0.0967143714808417,0.170832754439483,0.07413400157246419,0.12691804424425793
2,2-3,0.1057347670250896,0.25739247311827956,0.10569006706930606,0.27652282150878904,0.09001847482237442,0.21693651906663236
3,3-4,0.0913978494623656,0.34879032258064513,0.10617853859067142,0.38270136009946043,0.09971520569013342,0.3166517247567658
4,4-5,0.08310931899641577,0.4318996415770609,0.10111111678907318,0.4838124768885336,0.10319784501966728,0.41984956977643306
5,5-6,0.07078853046594982,0.5026881720430108,0.09258789218862482,0.5764003690771584,0.10106041761700732,0.5209099873934404
6,6-7,0.05824372759856631,0.5609318996415771,0.08218852776239073,0.6585888968395491,0.09435959785561025,0.6152695852490506
7,7-8,0.050627240143369175,0.6115591397849462,0.07108598757919,0.7296748844187392,0.0844128632732927,0.6996824485223433
8,8-9,0.06182795698924731,0.6733870967741935,0.060115183106292144,0.7897900675250313,0.07259349320555979,0.772275941727903
9,9-10,0.07325268817204302,0.7466397849462365,0.04983159243981366,0.839621659964845,0.06015703200571341,0.8324329737336165
10,10-11,0.0678763440860215,0.814516129032258,0.04056687534190362,0.8801885353067486,0.04812130158214762,0.8805542753157641
11,11-12,0.061155913978494625,0.8756720430107526,0.03248106325071606,0.9126695985574647,0.03720742350826667,0.9177616988240308
12,12-13,0.052195340501792115,0.9278673835125447,0.025609424661342767,0.9382790232188074,0.027836401083352082,0.9455980999073829
13,13-14,0.03270609318996416,0.9605734767025089,0.01990247360821869,0.9581814968270261,0.02016714837045021,0.965765248277833
14,14-15,0.023297491039426525,0.9838709677419355,0.015258417292283956,0.9734399141193101,0.014158306436452025,0.979923554714285
15,15-16,0.011648745519713262,0.9955197132616488,0.011548124917302522,0.9849880390366126,0.00963715059660492,0.98956070531089
16,16-17,0.003360215053763441,0.9988799283154123,0.008633275880602085,0.9936213149172146,0.006362843618937125,0.9959235489298272
17,17-18,0.0011200716845878136,1.0,0.006378685082785283,0.9999999999999999,0.004076451070172771,0.9999999999999999
