,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.006048387096774193,0.006048387096774193,0.0014644338518968922,0.0014644338518968922,0.016784132098468556,0.016784132098468556
1,1-2,0.014560931899641577,0.02060931899641577,0.006605849327867448,0.00807028317976434,0.034153602728863135,0.05093773482733169
2,2-3,0.029345878136200716,0.04995519713261649,0.015806486515401858,0.023876769695166198,0.04976042765277948,0.10069816248011117
3,3-4,0.0246415770609319,0.07459677419354839,0.028922616112657087,0.052799385807823285,0.06287363675505618,0.16357179923516735
4,4-5,0.025761648745519714,0.1003584229390681,0.04523567268753466,0.09803505849535794,0.07296914220966776,0.23654094144483512
5,5-6,0.03875448028673835,0.13911290322580644,0.06336899799907543,0.16140405649443337,0.07976203527081752,0.31630297671565266
6,6-7,0.0456989247311828,0.18481182795698925,0.08131810879430947,0.24272216528874285,0.08321259770582703,0.39951557442147967
7,7-8,0.06362007168458782,0.24843189964157708,0.09666785730173899,0.33939002259048184,0.08350728801659683,0.4830228624380765
8,8-9,0.07459677419354839,0.32302867383512546,0.10701271011250364,0.44640273270298547,0.08101917722340138,0.5640420396614779
9,9-10,0.10058243727598566,0.4236111111111111,0.11051116222503603,0.5569138949280215,0.07625456977686369,0.6402966094383417
10,10-11,0.125,0.5486111111111112,0.10641505528821586,0.6633289502162373,0.0697935764344468,0.7100901858727885
11,11-12,0.12343189964157707,0.6720430107526882,0.09536817016594035,0.7586971203821776,0.062232180678221866,0.7723223665510104
12,12-13,0.11715949820788531,0.7892025089605735,0.07931313402552838,0.838010254407706,0.054132057098646304,0.8264544236496567
13,13-14,0.08154121863799284,0.8707437275985663,0.06098846819318619,0.8989987226008922,0.045982416237365625,0.8724368398870224
14,14-15,0.06608422939068101,0.9368279569892474,0.04318100071468122,0.9421797233155734,0.03817589056296673,0.9106127304499891
15,15-16,0.04099462365591398,0.9778225806451614,0.028020619422251303,0.9702003427378247,0.030998342377562046,0.9416110728275512
16,16-17,0.01568100358422939,0.9935035842293908,0.016582695780799548,0.9867830385186243,0.02463077418767108,0.9662418470152223
17,17-18,0.005600358422939068,0.9991039426523298,0.008903475207502015,0.9956865137261263,0.019160429573573223,0.9854022765887955
18,18-19,0.0008960573476702509,1.0,0.004313486273873699,1.0,0.014597723411204855,1.0000000000000004
