,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.0125,0.0125,0.004136468048621004,0.004136468048621004,0.01637378392390582,0.01637378392390582
1,1-2,0.027777777777777776,0.04027777777777777,0.012492672999088296,0.016629141047709302,0.030914914233667212,0.04728869815757303
2,2-3,0.03912037037037037,0.07939814814814813,0.0235327046891028,0.0401618457368121,0.04411200851028724,0.09140070666786027
3,3-4,0.034722222222222224,0.11412037037037036,0.036221663503739905,0.07638350924055201,0.055441070823873666,0.14684177749173394
4,4-5,0.03333333333333333,0.1474537037037037,0.049501689387862195,0.1258851986284142,0.06450920490100202,0.21135098239273598
5,5-6,0.024074074074074074,0.17152777777777778,0.062259713654385804,0.1881449122828,0.0710760069718497,0.28242698936458566
6,6-7,0.025694444444444443,0.19722222222222222,0.07339485031870543,0.26153976260150547,0.07506067398448153,0.3574876633490672
7,7-8,0.03726851851851852,0.23449074074074072,0.08192780046591366,0.3434675630674191,0.07653505652839483,0.434022719877462
8,8-9,0.06458333333333334,0.29907407407407405,0.08711964645890577,0.4305872095263249,0.07570445159912248,0.5097271714765845
9,9-10,0.07453703703703704,0.3736111111111111,0.08857111291739343,0.5191583224437183,0.07287914659414373,0.5826063180707283
10,10-11,0.08819444444444445,0.4618055555555556,0.08627765637817858,0.6054359788218968,0.06844045346360811,0.6510467715343364
11,11-12,0.0912037037037037,0.5530092592592593,0.08062480711597676,0.6860607859378736,0.0628051586801999,0.7138519302145363
12,12-13,0.09953703703703703,0.6525462962962962,0.07232148759804906,0.7583822735359226,0.056391995683456125,0.7702439258979924
13,13-14,0.10069444444444445,0.7532407407407407,0.06228355632539313,0.8206658298613158,0.049593028368256416,0.8198369542662488
14,14-15,0.08101851851851852,0.8342592592592591,0.05149151216184649,0.8721573420231622,0.042751869054682784,0.8625888233209316
15,15-16,0.07314814814814814,0.9074074074074073,0.040851628210019475,0.9130089702331816,0.03614960881558094,0.8987384321365125
16,16-17,0.05694444444444444,0.9643518518518518,0.03108720478452378,0.9440961750177054,0.029998364376407502,0.92873679651292
17,17-18,0.026157407407407407,0.9905092592592593,0.02267719399994895,0.9667733690176543,0.024441560172260693,0.9531783566851807
18,18-19,0.007175925925925926,0.9976851851851852,0.01584643443110099,0.9826198034487553,0.01955953447465145,0.9727378911598321
19,19-20,0.001851851851851852,0.9995370370370371,0.010599358157273163,0.9932191616060285,0.01537880285867739,0.9881166940185095
20,20-21,0.000462962962962963,1.0,0.006780838393971356,0.9999999999999999,0.011883305981490547,1.0
