,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.009632616487455198,0.009632616487455198,0.002044049923683452,0.002044049923683452,0.015919912065479772,0.015919912065479772
1,1-2,0.013888888888888888,0.023521505376344086,0.0077206854431767485,0.0097647353668602,0.03071156710384945,0.04663147916932922
2,2-3,0.026657706093189962,0.05017921146953405,0.016643382629436265,0.026408117996296464,0.044164019785143976,0.0907954989544732
3,3-4,0.03539426523297491,0.08557347670250896,0.028297156670696107,0.05470527466699257,0.05573981265768536,0.14653531161215855
4,4-5,0.03382616487455197,0.11939964157706093,0.04190084440788989,0.09660611907488245,0.06503365074479261,0.21156896235695116
5,5-6,0.02889784946236559,0.14829749103942652,0.05637682594437531,0.15298294501925777,0.07179476670094004,0.2833637290578912
6,6-7,0.03024193548387097,0.1785394265232975,0.07039977956371266,0.22338272458297043,0.0759347506548348,0.359298479712726
7,7-8,0.041666666666666664,0.22020609318996415,0.0825251734188893,0.30590789800185975,0.07752101002087071,0.4368194897335967
8,8-9,0.05622759856630825,0.2764336917562724,0.09138453404629857,0.39729243204815834,0.07675763426436978,0.5135771239979665
9,9-10,0.08221326164874553,0.35864695340501795,0.0959132302107374,0.4932056622588957,0.07395669905904675,0.5875338230570133
10,10-11,0.09251792114695341,0.45116487455197135,0.09555794120621945,0.5887636034651151,0.06950380778262956,0.6570376308396428
11,11-12,0.0985663082437276,0.549731182795699,0.09040487586778538,0.6791684793329005,0.06382187909987087,0.7208595099395138
12,12-13,0.10439068100358423,0.6541218637992832,0.08118298918062285,0.7603514685135233,0.057336880293388064,0.7781963902329018
13,13-14,0.10170250896057348,0.7558243727598566,0.0691287017848062,0.8294801702983295,0.05044848403600439,0.8286448742689062
14,14-15,0.09363799283154121,0.8494623655913978,0.0557407117900461,0.8852208820883757,0.043507646004754444,0.8721525202736606
15,15-16,0.07818100358422939,0.9276433691756272,0.0424895522348472,0.9277104343232229,0.03680203268907861,0.9089545529627392
16,16-17,0.047939068100358424,0.9755824372759856,0.0305610367201357,0.9582714710433585,0.03054922975316648,0.9395037827159056
17,17-18,0.01724910394265233,0.9928315412186379,0.020698533615122534,0.978970004658481,0.024896851660358408,0.964400634376264
18,18-19,0.006944444444444444,0.9997759856630823,0.013171973871947008,0.9921419785304281,0.019928124056947768,0.9843287584332118
19,19-20,0.00022401433691756272,0.9999999999999999,0.007858021469572039,1.0,0.01567124156678809,0.9999999999999999
