,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.005376344086021506,0.005376344086021506,0.002749707257647774,0.002749707257647774,0.013601895811157186,0.013601895811157186
1,1-2,0.021729390681003585,0.02710573476702509,0.00918350479141963,0.011933212049067403,0.027550007284580888,0.041151903095738074
2,2-3,0.024193548387096774,0.05129928315412186,0.01840143319263189,0.030334645241699293,0.040342907723652406,0.08149481081939047
3,3-4,0.02800179211469534,0.0793010752688172,0.029685831593056763,0.06002047683475606,0.05148399437054718,0.13297880518993765
4,4-5,0.034722222222222224,0.11402329749103943,0.042206692003736834,0.1022271688384929,0.06058879150226847,0.19356759669220613
5,5-6,0.033602150537634407,0.14762544802867383,0.05498995305397085,0.15721712189246373,0.06740613169934805,0.2609737283915542
6,6-7,0.033602150537634407,0.18122759856630824,0.06696437547958253,0.22418149737204626,0.07182720550209672,0.3328009338936509
7,7-8,0.05421146953405018,0.23543906810035842,0.0770587873755547,0.30124028474760095,0.07388235650504102,0.4066832903986919
8,8-9,0.06205197132616488,0.2974910394265233,0.08432910680935926,0.38556939155696024,0.07372683714603048,0.48041012754472234
9,9-10,0.07862903225806452,0.3761200716845878,0.08808972440870105,0.4736591159656613,0.07161783186090583,0.5520279594056282
10,10-11,0.07616487455197132,0.4522849462365591,0.08802015484323457,0.5616792708088959,0.06788577245736631,0.6199137318629945
11,11-12,0.08938172043010753,0.5416666666666666,0.08422010100369069,0.6458993718125866,0.06290325480795829,0.6828169866709528
12,12-13,0.08624551971326165,0.6279121863799283,0.07719576039743438,0.723095132210021,0.05705472482085078,0.7398717114918036
13,13-14,0.08848566308243727,0.7163978494623655,0.06777588653403313,0.7908710187440541,0.05070960422431369,0.7905813157161173
14,14-15,0.09117383512544804,0.8075716845878136,0.05697367357431334,0.8478446923183675,0.044200784636345705,0.834782100352463
15,15-16,0.07146057347670251,0.8790322580645161,0.045824478770205734,0.8936691710885731,0.03780956289535011,0.8725916632478131
16,16-17,0.05353942652329749,0.9325716845878136,0.03523498661972086,0.928904157708294,0.03175724938044955,0.9043489126282627
17,17-18,0.02956989247311828,0.9621415770609318,0.02587466497466106,0.9547788226829551,0.026202959128554765,0.9305518717568174
18,18-19,0.017697132616487456,0.9798387096774193,0.01812701722627546,0.9729058399092305,0.021246563175829326,0.9517984349326467
19,19-20,0.011872759856630824,0.9917114695340501,0.012101037164884981,0.9850068770741155,0.016935465657173326,0.96873390058982
20,20-21,0.005824372759856631,0.9975358422939067,0.007688324456946778,0.9926952015310623,0.013273775273435977,0.982007675863256
21,21-22,0.0013440860215053765,0.9988799283154121,0.004643040066488279,0.9973382415975506,0.010232523983485146,0.9922401998467412
22,22-23,0.0011200716845878136,0.9999999999999999,0.0026617584024496064,1.0000000000000002,0.0077598001532589245,1.0
