,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.015008960573476702,0.015008960573476702,0.006144901242268386,0.006144901242268386,0.018889920075239777,0.018889920075239777
1,1-2,0.04502688172043011,0.06003584229390681,0.01701856132267186,0.023163462564940247,0.034627712242677404,0.05351763231791718
2,2-3,0.043010752688172046,0.10304659498207885,0.030350832678446717,0.05351429524338697,0.04870966397470361,0.10222729629262078
3,3-4,0.032034050179211467,0.1350806451612903,0.044738887160985626,0.09825318240437259,0.060530928481951816,0.1627582247745726
4,4-5,0.021505376344086023,0.15658602150537634,0.058858855824199356,0.15711203822857195,0.06966040729851276,0.23241863207308538
5,5-6,0.025089605734767026,0.18167562724014336,0.07144400767303748,0.22855604590160944,0.07586469289194651,0.3082833249650319
6,6-7,0.031137992831541218,0.21281362007168458,0.08137853462992878,0.3099345805315382,0.07911187888034255,0.38739520384537446
7,7-8,0.04614695340501792,0.2589605734767025,0.08781775579976915,0.39775233633130735,0.0795562891975389,0.4669514930429134
8,8-9,0.06137992831541219,0.32034050179211465,0.09029092612255714,0.4880432624538645,0.07750745106172059,0.544458944104634
9,9-10,0.08938172043010753,0.4097222222222222,0.0887568168374374,0.5768000792913018,0.07338825180138003,0.6178471959060141
10,10-11,0.10887096774193548,0.5185931899641577,0.0835953208682177,0.6603954001595196,0.06768799273768009,0.6855351886436942
11,11-12,0.11850358422939068,0.6370967741935484,0.07553383314068941,0.735929233300209,0.06091595968242474,0.7464511483261189
12,12-13,0.10327060931899641,0.7403673835125448,0.0655226396855863,0.8014518729857953,0.053560290564899596,0.8000114388910186
13,13-14,0.09453405017921147,0.8349014336917563,0.05458513924080418,0.8560370122265996,0.046055563954850144,0.8460670028458687
14,14-15,0.06294802867383513,0.8978494623655914,0.0436732579937668,0.8997102702203663,0.03876093674865962,0.8848279395945283
15,15-16,0.050627240143369175,0.9484767025089605,0.03355486688774174,0.9332651371081081,0.03194909828507361,0.916777037879602
16,16-17,0.031586021505376344,0.9800627240143369,0.02474990865315827,0.9580150457612664,0.025805002367378576,0.9425820402469806
17,17-18,0.01232078853046595,0.9923835125448028,0.017518794770621068,0.9755338405318874,0.0204324273427267,0.9630144675897072
18,18-19,0.004480286738351254,0.996863799283154,0.011894561723342512,0.9874284022552299,0.015865946963138967,0.9788804145528461
19,19-20,0.0020161290322580645,0.9988799283154122,0.007742522408431778,0.9951709246636616,0.012085840792227139,0.9909662553450733
20,20-21,0.0011200716845878136,1.0,0.004829075336338282,0.9999999999999999,0.00903374465492697,1.0000000000000002
