,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.0005787037037037037,0.0005787037037037037,1.5680984670075002e-05,1.5680984670075002e-05,0.011898048209305116,0.011898048209305116
1,1-2,0.0011574074074074073,0.001736111111111111,0.0002305427498764875,0.0002462237345465625,0.02454778440479806,0.036445832614103175
2,2-3,0.0005787037037037037,0.0023148148148148147,0.0011101749878108331,0.0013563987223573957,0.03627728316238312,0.0727231157764863
3,3-4,0.00636574074074074,0.008680555555555556,0.003380672074949255,0.004737070797306651,0.046674986367325234,0.11939810214381152
4,4-5,0.007523148148148148,0.016203703703703703,0.007988210198334941,0.012725280995641592,0.05541044633038636,0.17480854847419788
5,5-6,0.005208333333333333,0.021412037037037035,0.01600959721318399,0.028734878208825584,0.06225130162097084,0.23705985009516872
6,6-7,0.009259259259259259,0.030671296296296294,0.028459195269861088,0.05719407347868667,0.06707219820371228,0.304132048298881
7,7-8,0.02141203703703704,0.05208333333333333,0.045933131044708975,0.10312720452339565,0.06985533020633766,0.3739873785052187
8,8-9,0.050347222222222224,0.10243055555555555,0.06806719612836924,0.1711944006517649,0.0706831097065924,0.4446704882118111
9,9-10,0.09143518518518519,0.19386574074074076,0.09290024730139174,0.2640946479531566,0.06972419928774612,0.5143946874995572
10,10-11,0.1076388888888889,0.30150462962962965,0.11644828269100876,0.3805429306441654,0.06721467554823866,0.5816093630477959
11,11-12,0.13599537037037038,0.4375,0.13302500235303785,0.5135679329972033,0.0634363882091053,0.6450457512569012
12,12-13,0.14351851851851852,0.5810185185185185,0.13683033605039394,0.6503982690475972,0.05869462533431722,0.7037403765912185
13,13-14,0.13773148148148148,0.71875,0.12470428721289219,0.7751025562604894,0.05329701172616215,0.7570373883173807
14,14-15,0.12384259259259259,0.8425925925925926,0.09869904795381503,0.8738016042143044,0.04753520331163551,0.8045725916290162
15,15-16,0.06828703703703703,0.9108796296296295,0.06622830969842913,0.9400299139127335,0.04167046108375241,0.8462430527127686
16,16-17,0.05324074074074074,0.9641203703703702,0.036635183390600734,0.9766650973033342,0.03592366555396485,0.8821667182667334
17,17-18,0.017939814814814815,0.982060185185185,0.016177703687704013,0.9928428009910382,0.03046983347273767,0.9126365517394711
18,18-19,0.008680555555555556,0.9907407407407406,0.005499189884462491,0.9983419908755007,0.02543677619949992,0.938073327938971
19,19-20,0.00636574074074074,0.9971064814814813,0.001381464814999644,0.9997234556905004,0.020907228449870034,0.958980556388841
20,20-21,0.0023148148148148147,0.9994212962962961,0.0002451115260051511,0.9999685672165055,0.01692359202511424,0.9759041484139553
21,21-22,0.0,0.9994212962962961,2.9217889133928015e-05,0.9999977851056394,0.013494377901984513,0.9893985263159398
22,22-23,0.0005787037037037037,0.9999999999999998,2.2148943606934456e-06,1.0,0.010601473684060135,1.0
