,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.02177438035672921,0.02177438035672921,0.0482584278629593,0.0482584278629593,0.03900898624758083,0.03900898624758083
1,1-2,0.06949270326615706,0.09126708362288627,0.07227161907971139,0.1205300469426707,0.05929504199859053,0.09830402824617136
2,2-3,0.11535788742182071,0.20662497104470698,0.08678180148358965,0.20731184842626033,0.07562807380614166,0.17393210205231302
3,3-4,0.11535788742182071,0.3219828584665277,0.09402836831122977,0.3013402167374901,0.08718467366807886,0.2611167757203919
4,4-5,0.07991660875608061,0.4018994672226083,0.0954967143870436,0.3968369311245337,0.09363794376884792,0.3547547194892398
5,5-6,0.05003474635163308,0.45193421357424135,0.09251671935542087,0.4893536504799546,0.09514732254410761,0.44990204203334744
6,6-7,0.03961084086170952,0.49154505443595087,0.08632923161971641,0.575682882099671,0.09228531728989955,0.542187359323247
7,7-8,0.04748668056520732,0.5390317350011582,0.0780566862551207,0.6537395683547917,0.08591952036828787,0.6281068796915349
8,8-9,0.06485985638174659,0.6038915913829048,0.06866426006287216,0.7224038284176639,0.0770737165191555,0.7051805962106904
9,9-10,0.06833449154505443,0.6722260829279593,0.0589346032184004,0.7813384316360643,0.06679201175654362,0.771972607967234
10,10-11,0.07574704656011119,0.7479731294880705,0.04946089081979214,0.8307993224558564,0.05602546874577213,0.8279980767130062
11,11-12,0.06300671762798239,0.8109798471160529,0.04065620035938672,0.8714555228152432,0.04555339844204998,0.8735514751550562
12,12-13,0.06624971044706972,0.8772295575631226,0.03277472064850452,0.9042302434637477,0.03594328017814445,0.9094947553332006
13,13-14,0.046096826499884176,0.9233263840630068,0.02593979044493388,0.9301700339086816,0.02754610566926762,0.9370408610024682
14,14-15,0.03219828584665277,0.9555246699096596,0.02017428821286087,0.9503443221215424,0.020518997921896986,0.9575598589243652
15,15-16,0.021542738012508687,0.9770674079221683,0.015429904978462422,0.9657742271000048,0.014864700811353201,0.9724245597357184
16,16-17,0.014593467685892982,0.9916608756080613,0.011612983158048245,0.9773872102580531,0.010477726869838208,0.9829022866055566
17,17-18,0.006022700949733611,0.9976835765577948,0.00860567689664352,0.9859928871546966,0.0071888835896676126,0.9900911701952242
18,18-19,0.0011582117211026176,0.9988417882788975,0.006282062952299303,0.9922749501069958,0.004802693409049792,0.994893863604274
19,19-20,0.000926569376882094,0.9997683576557795,0.004519458762438345,0.9967944088694342,0.003125080391148621,0.9980189439954227
20,20-21,0.0002316423442205235,1.0,0.0032055911305657364,0.9999999999999999,0.0019810560045776054,1.0000000000000002
