,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.011574074074074073,0.011574074074074073,0.003819125561632129,0.003819125561632129,0.018064526993051333,0.018064526993051333
1,1-2,0.03333333333333333,0.04490740740740741,0.012643514472858927,0.016462640034491056,0.0350074611209637,0.053071988114015034
2,2-3,0.03912037037037037,0.08402777777777778,0.02510690062656433,0.041569540661055386,0.05016151104347967,0.1032334991574947
3,3-4,0.041666666666666664,0.12569444444444444,0.04002506704542637,0.08159460770648175,0.06282894713716387,0.16606244629465858
4,4-5,0.028935185185185185,0.15462962962962962,0.055995010842850426,0.13758961854933216,0.07251610296652962,0.2385785492611882
5,5-6,0.024537037037037038,0.17916666666666664,0.07140282631248915,0.2089924448618213,0.078962698196286,0.3175412474574742
6,6-7,0.030324074074074073,0.2094907407407407,0.08457084694603018,0.29356329180785146,0.0821458281828218,0.399687075640296
7,7-8,0.04212962962962963,0.2516203703703703,0.09398620285564925,0.3875494946635007,0.08226007171375861,0.4819471473540546
8,8-9,0.058333333333333334,0.3099537037037037,0.09855277517082875,0.48610226983432947,0.0796781882153937,0.5616253355694483
9,9-10,0.08657407407407407,0.39652777777777776,0.09779849422041893,0.5839007640547484,0.07489896311989283,0.6365242986893411
10,10-11,0.13680555555555557,0.5333333333333333,0.09197423440740526,0.6758749984621537,0.06848966893212213,0.7050139676214633
11,11-12,0.14166666666666666,0.675,0.0820058818969978,0.7578808803591515,0.06103032869419206,0.7660442963156553
12,12-13,0.11296296296296296,0.787962962962963,0.06930293839184865,0.8271838187510001,0.05306569705745802,0.8191099933731133
13,13-14,0.08587962962962963,0.8738425925925926,0.05547147820331102,0.8826552969543111,0.04506895624978829,0.8641789496229015
14,14-15,0.06087962962962963,0.9347222222222222,0.042009063452195364,0.9246643604065065,0.037418963401146,0.9015979130240476
15,15-16,0.038425925925925926,0.9731481481481482,0.030061810595839872,0.9547261710023464,0.030390859925857862,0.9319887729499055
16,16-17,0.01898148148148148,0.9921296296296297,0.020298188954219497,0.9750243599565659,0.024158249695088365,0.9561470226449938
17,17-18,0.005324074074074074,0.9974537037037038,0.01291181874756735,0.9879361787041332,0.01880413046143597,0.9749511531064298
18,18-19,0.0023148148148148147,0.9997685185185186,0.00772474582822654,0.9956609245323598,0.014337351859866678,0.9892885049662965
19,19-20,0.0002314814814814815,1.0,0.004339075467640482,1.0000000000000002,0.010711495033703299,0.9999999999999998
