,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.01597222222222222,0.01597222222222222,0.017560970218986234,0.017560970218986234,0.026155904731764587,0.026155904731764587
1,1-2,0.0441358024691358,0.06010802469135802,0.03732974525610928,0.05489071547509551,0.04601550350284724,0.07217140823461182
2,2-3,0.06720679012345679,0.12731481481481483,0.056133572666883846,0.11102428814197936,0.06301942484829373,0.13519083308290555
3,3-4,0.07013888888888889,0.19745370370370371,0.0722400243258723,0.18326431246785166,0.07626952040801592,0.21146035349092146
4,4-5,0.05277777777777778,0.2502314814814815,0.08441714731797513,0.2676814597858268,0.08523691924098219,0.29669727273190366
5,5-6,0.04737654320987654,0.29760802469135805,0.09193911308115761,0.3596205728669844,0.08978773869547682,0.38648501142738045
6,6-7,0.053703703703703705,0.35131172839506175,0.09460928022597775,0.45422985309296215,0.09015860511886879,0.47664361654624926
7,7-8,0.06458333333333334,0.4158950617283951,0.09272864629517737,0.5469584993881396,0.0868902353689068,0.563533851915156
8,8-9,0.07276234567901235,0.48865740740740743,0.08700337880385788,0.6339618781919975,0.08073313485028788,0.6442669867654439
9,9-10,0.08626543209876543,0.5749228395061728,0.07840766137600731,0.7123695395680048,0.0725421125419851,0.716809099307429
10,10-11,0.10625,0.6811728395061728,0.06802803308169224,0.780397572649697,0.06317567241865368,0.7799847717260826
11,11-12,0.10378086419753087,0.7849537037037037,0.0569167598289212,0.8373143324786182,0.053413005298836275,0.8333977770249189
12,12-13,0.07885802469135803,0.8638117283950617,0.04597645738739462,0.8832907898660128,0.04389634613808563,0.8772941231630045
13,13-14,0.05478395061728395,0.9185956790123456,0.03588874642123231,0.9191795362872451,0.03510110801516227,0.9123952311781668
14,14-15,0.03896604938271605,0.9575617283950617,0.027089179138075174,0.9462687154253203,0.027331536952511618,0.9397267681306785
15,15-16,0.024537037037037038,0.9820987654320987,0.01978174366640322,0.9660504590917235,0.02073637210889177,0.9604631402395702
16,16-17,0.01273148148148148,0.9948302469135802,0.013980670336635815,0.9800311294283593,0.015337420784731347,0.9758005610243016
17,17-18,0.003935185185185185,0.9987654320987654,0.009565542095618069,0.9895966715239775,0.011063940813017358,0.9868645018373189
18,18-19,0.0011574074074074073,0.9999228395061729,0.006337267035936668,0.9959339385599141,0.007786860635516639,0.9946513624728355
19,19-20,7.716049382716049e-05,1.0,0.0040660614400859245,1.0,0.0053486375271642374,0.9999999999999997
