,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.028076463560334528,0.028076463560334528,0.04133547288776029,0.04133547288776029,0.04000657638511453,0.04000657638511453
1,1-2,0.0673536439665472,0.09543010752688172,0.0685075551647595,0.10984302805251978,0.06313147571074008,0.10313805209585461
2,2-3,0.09513142174432497,0.19056152927120668,0.08722084370609606,0.19706387175861584,0.08148312676776802,0.18462117886362261
3,3-4,0.0961768219832736,0.2867383512544803,0.09815378207730083,0.2952176538359167,0.09402290325680558,0.2786440821204282
4,4-5,0.07407407407407407,0.36081242532855434,0.10210088488512993,0.3973185387210466,0.10039354951914065,0.37903763163956883
5,5-6,0.05465949820788531,0.41547192353643964,0.1001908031990087,0.4975093419200553,0.10089471490618368,0.4799323465457525
6,6-7,0.05973715651135006,0.4752090800477897,0.09378548835020153,0.5912948302702569,0.09636366831951579,0.5762960148652683
7,7-8,0.06839904420549582,0.5436081242532855,0.08431785309712225,0.6756126833673791,0.08799347073003574,0.664289485595304
8,8-9,0.08086917562724015,0.6244772998805257,0.07313960608421625,0.7487522894515953,0.07712861747648754,0.7414181030717916
9,9-10,0.0817652329749104,0.706242532855436,0.061408336108556366,0.8101606255601517,0.06507612526967833,0.8064942283414699
10,10-11,0.08676821983273596,0.793010752688172,0.0500233032169519,0.8601839287771036,0.05296025813522146,0.8594544864766913
11,11-12,0.0787037037037037,0.8717144563918757,0.039607353151997815,0.8997912819291014,0.04163524628200683,0.9010897327586982
12,12-13,0.0630227001194743,0.93473715651135,0.030525276278869324,0.9303165582079708,0.0316564697273385,0.9327462024860367
13,13-14,0.04032258064516129,0.9750597371565113,0.022925914689613892,0.9532424728975847,0.023299833030598942,0.9560460355166356
14,14-15,0.015830346475507767,0.990890083632019,0.016795473992921306,0.970037946890506,0.016613110272931282,0.9726591457895669
15,15-16,0.005675029868578256,0.9965651135005973,0.012011722071769806,0.9820496689622759,0.01148195572883654,0.9841411015184035
16,16-17,0.0023148148148148147,0.9988799283154121,0.008391958219971055,0.9904416271822469,0.007695924289262002,0.9918370258076655
17,17-18,0.0007467144563918758,0.9996266427718039,0.005730910060964,0.996172537243211,0.005004530595982041,0.9968415564036476
18,18-19,0.0003733572281959379,0.9999999999999999,0.0038274627567891715,1.0000000000000002,0.0031584435963522006,0.9999999999999998
