,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.026359020310633214,0.026359020310633214,0.04222176018844246,0.04222176018844246,0.037415612205365455,0.037415612205365455
1,1-2,0.07340203106332138,0.09976105137395459,0.06584444818277058,0.10806620837121303,0.056741914883419536,0.094157527088785
2,2-3,0.09662485065710873,0.19638590203106332,0.081276329878635,0.18934253824984804,0.07248092431793046,0.16663845140671546
3,3-4,0.09221923536439665,0.28860513739545995,0.09004807912509255,0.2793906173749406,0.08386682547621317,0.2505052768829286
4,4-5,0.06287335722819594,0.3514784946236559,0.09322894214512727,0.37261955952006787,0.09056448090090057,0.3410697577838292
5,5-6,0.049880525686977296,0.4013590203106332,0.09187508711753799,0.46449464663760587,0.09266632244702572,0.4337360802308549
6,6-7,0.04547491039426523,0.4468339307048984,0.0870594869945167,0.5515541336321226,0.09063600694413713,0.5243720871749921
7,7-8,0.058019713261648745,0.5048536439665472,0.07982175864504122,0.6313758922771638,0.08521278958532263,0.6095848767603147
8,8-9,0.06272401433691756,0.5675776583034647,0.07110968935863982,0.7024855816358037,0.0772953567075647,0.6868802334678794
9,9-10,0.07706093189964158,0.6446385902031063,0.0617342465175311,0.7642198281533348,0.06782460802048954,0.7547048414883689
10,10-11,0.07967443249701314,0.7243130227001194,0.05234425709342907,0.8165640852467638,0.05768199150720936,0.8123868329955782
11,11-12,0.0846774193548387,0.8089904420549582,0.04342029106045836,0.8599843763072221,0.047614615108371,0.8600014481039492
12,12-13,0.06690561529271206,0.8758960573476703,0.03528415662311595,0.895268532930338,0.038191983264879686,0.8981934313688289
13,13-14,0.04980585424133811,0.9257019115890084,0.028119192881064636,0.9233877258114027,0.02979326869549174,0.9279867000643206
14,14-15,0.031287335722819595,0.956989247311828,0.021996502021072572,0.9453842278324753,0.022619583647479794,0.9506062837118004
15,15-16,0.022625448028673834,0.9796146953405018,0.016902929691383097,0.9622871575238584,0.016723269434346925,0.9673295531461473
16,16-17,0.0126194743130227,0.9922341696535245,0.012767623328290614,0.975054780852149,0.012045751055796576,0.9793753042019439
17,17-18,0.0047789725209080045,0.9970131421744325,0.009485106247453691,0.9845398870996027,0.008456578203735738,0.9878318824056795
18,18-19,0.0017174432497013142,0.9987305854241338,0.0069338173478735304,0.9914737044474763,0.005788267602423052,0.9936201500081026
19,19-20,0.0008213859020310633,0.9995519713261649,0.004989877793139399,0.9964635822406157,0.003863840219047314,0.9974839902271498
20,20-21,0.00044802867383512545,1.0,0.0035364177593844312,1.0000000000000002,0.002516009772849782,0.9999999999999997
