,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.010416666666666666,0.010416666666666666,0.004861669472423763,0.004861669472423763,0.016121167774402888,0.016121167774402888
1,1-2,0.023726851851851853,0.03414351851851852,0.014158531998211396,0.01902020147063516,0.031244087722611488,0.047365255497014376
2,2-3,0.03973765432098766,0.07388117283950618,0.026067882910033615,0.045088084380668775,0.044928519919541374,0.09229377541655576
3,3-4,0.042727623456790126,0.11660879629629631,0.03940890459462953,0.08449698897529831,0.056600008040650664,0.1488937834572064
4,4-5,0.04128086419753087,0.1578896604938272,0.05301535824032746,0.13751234721562577,0.06583351089894642,0.21472729435615284
5,5-6,0.031828703703703706,0.1897183641975309,0.06570695169380682,0.20321929890943258,0.07237758792445503,0.2871048822806079
6,6-7,0.03115354938271605,0.22087191358024696,0.07636821983415255,0.2795875187435851,0.07616142466051447,0.36326630694112233
7,7-8,0.041184413580246916,0.2620563271604939,0.08406439817742214,0.3636519169210073,0.0772851338786242,0.4405514408197465
8,8-9,0.06346450617283951,0.32552083333333337,0.08815651733351394,0.4518084342545212,0.07599572398854755,0.5165471648082941
9,9-10,0.07957175925925926,0.4050925925925926,0.0883855321946782,0.5401939664491995,0.07265260311911961,0.5891997679274137
10,10-11,0.09104938271604938,0.496141975308642,0.08490316100673398,0.6250971274559335,0.06768731076561826,0.656887078693032
11,11-12,0.09587191358024691,0.592013888888889,0.07823912009631162,0.7033362475522451,0.06156228699633107,0.718449365689363
12,12-13,0.09780092592592593,0.6898148148148149,0.0692091952302696,0.7725454427825147,0.05473296771372267,0.7731823334030857
13,13-14,0.09403935185185185,0.7838541666666667,0.058782504395162895,0.8313279471776776,0.04761649207651803,0.8207988254796038
14,14-15,0.0720486111111111,0.8559027777777779,0.047935443929183114,0.8792633911068607,0.04056903714892553,0.8613678626285294
15,15-16,0.05642361111111111,0.9123263888888891,0.03752151612914055,0.9167849072360013,0.03387247713161548,0.8952403397601448
16,16-17,0.049672067901234566,0.9619984567901236,0.028180229304468996,0.9449651365404702,0.027729892883314088,0.9229702326434589
17,17-18,0.02546296296296296,0.9874614197530865,0.02029676819649936,0.9652619047369696,0.022268568072839563,0.9452388007162985
18,18-19,0.00945216049382716,0.9969135802469137,0.014011016902330429,0.9792729216393,0.01754856861950326,0.9627873693358018
19,19-20,0.0024112654320987653,0.9993248456790125,0.009263784860949411,0.9885367065002494,0.013574813054617335,0.9763621823904192
20,20-21,0.0005787037037037037,0.9999035493827162,0.005862449260729178,0.9943991557609786,0.010310651278651658,0.9866728336690708
21,21-22,0.0,0.9999035493827162,0.003548317985090271,0.9979474737460688,0.0076912933983535525,0.9943641270674243
22,22-23,9.645061728395061e-05,1.0000000000000002,0.0020525262539312114,1.0,0.005635872932575787,1.0
