,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.017828200972447326,0.017828200972447326,0.022702172799218802,0.022702172799218802,0.02689484386343667,0.02689484386343667
1,1-2,0.04615265879447403,0.06398085976692136,0.04276741251378529,0.06546958531300409,0.044910232470025145,0.07180507633346181
2,2-3,0.07725553754727174,0.1412363973141931,0.05979995634352424,0.12526954165652832,0.06038183323542926,0.13218690956889106
3,3-4,0.08088292042911167,0.2221193177433048,0.07310799404604564,0.19837753570257394,0.07256625532669712,0.2047531648955882
4,4-5,0.05873273134213167,0.2808520490854365,0.08227202861470582,0.2806495643172798,0.08101581217908775,0.28576897707467597
5,5-6,0.04368295130045535,0.32453500038589184,0.08720649622109528,0.36785606053837505,0.08559881631623974,0.3713677933909157
6,6-7,0.04129042216562476,0.3658254225515166,0.08814600502772764,0.4560020655661027,0.08648300478001256,0.4578507981709282
7,7-8,0.05039746854981863,0.41622289110133526,0.08558955451876744,0.5415916200848702,0.08408757980995454,0.5419383779808827
8,8-9,0.06205140078721926,0.4782742918885545,0.08022008553333063,0.6218117056182008,0.07901339198348957,0.6209517699643723
9,9-10,0.07339661958786756,0.5516709114764221,0.07281460881078874,0.6946263144289895,0.07196284419661163,0.6929146141609839
10,10-11,0.08836922127035579,0.640040132746778,0.06415832661795078,0.7587846410469402,0.06366101778303143,0.7565756319440153
11,11-12,0.08728872424172263,0.7273288569885006,0.05497306116423802,0.8137577022111783,0.054787614758135705,0.811363246702151
12,12-13,0.08196341745774485,0.8092922744462454,0.045866284681966615,0.8596239868931449,0.04592618429042717,0.8572894309925781
13,13-14,0.07030948522034422,0.8796017596665896,0.03730286382397517,0.8969268507171201,0.03753350661367895,0.8948229376062571
14,14-15,0.05178667901520414,0.9313884386817938,0.029598003974972205,0.9265248546920923,0.029928651974061908,0.924751589580319
15,15-16,0.03573358030408273,0.9671220189858765,0.022927296914679395,0.9494521516067718,0.023298644072355587,0.9480502336526746
16,16-17,0.019989195029713667,0.9871112140155901,0.017348432598057777,0.9668005842048295,0.0177161125134793,0.9657663461661539
17,17-18,0.009338581461758123,0.9964497954773482,0.01282895512503369,0.9796295393298632,0.013163838176683922,0.9789301843428377
18,18-19,0.002546885853206761,0.998996681330555,0.009275154458660253,0.9889046937885234,0.00956149968991401,0.9884916840327518
19,19-20,0.0009261403102570039,0.9999228216408119,0.006558429242611864,0.9954631230311353,0.006790922734901884,0.9952826067676537
20,20-21,7.717835918808367e-05,1.0,0.004536876968864697,1.0,0.0047173932323461626,0.9999999999999999
