,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.04910130718954248,0.04910130718954248,0.08858462765716334,0.08858462765716334,0.0614025387596567,0.0614025387596567
1,1-2,0.11968954248366014,0.16879084967320263,0.11188915349824233,0.20047378115540565,0.08663415844787822,0.14803669720753493
2,2-3,0.13594771241830064,0.3047385620915033,0.11848211034659728,0.31895589150200293,0.10410494032736382,0.25214163753489877
3,3-4,0.11086601307189542,0.4156045751633987,0.11520536443400187,0.4341612559360048,0.11301527371804908,0.36515691125294786
4,4-5,0.08080065359477125,0.49640522875816995,0.10601253861998514,0.5401737945559899,0.11370986642030584,0.4788667776732537
5,5-6,0.07107843137254902,0.5674836601307189,0.0936501209647124,0.6338239155207023,0.10747139567983942,0.5863381733530931
6,6-7,0.06037581699346405,0.627859477124183,0.08006605516124761,0.7138899706819499,0.09617715122083292,0.682515324573926
7,7-8,0.06388888888888888,0.6917483660130719,0.06659158197282708,0.780481552654777,0.08191154807944352,0.7644268726533696
8,8-9,0.06772875816993464,0.7594771241830065,0.054070926248095626,0.8345524789028727,0.06662135398666649,0.8310482266400361
9,9-10,0.05955882352941176,0.8190359477124183,0.0429739945277451,0.8775264734306177,0.051873189405256204,0.8829214160452923
10,10-11,0.05645424836601307,0.8754901960784314,0.03349653811414126,0.911023011544759,0.03873630149362524,0.9216577175389176
11,11-12,0.047549019607843135,0.9230392156862746,0.025645962124029417,0.9366689736687883,0.02778006179839449,0.9494377793373121
12,12-13,0.03423202614379085,0.9572712418300654,0.01931108412512444,0.9559800577939127,0.019153533329746744,0.9685913126670589
13,13-14,0.02050653594771242,0.9777777777777779,0.014315689668055642,0.9702957474619683,0.012706613078655435,0.9812979257457143
14,14-15,0.012091503267973857,0.9898692810457517,0.01045716921415628,0.9807529166761246,0.008116510000876154,0.9894144357465904
15,15-16,0.006372549019607843,0.9962418300653595,0.007532439042153587,0.9882853557182782,0.004994673575710665,0.9944091093223011
16,16-17,0.0025326797385620916,0.9987745098039216,0.0053537348833277145,0.9936390906016059,0.0029623843920014792,0.9973714937143026
17,17-18,0.000980392156862745,0.9997549019607843,0.0037568445612628488,0.9973959351628687,0.0016940963892218672,0.9990655901035245
18,18-19,0.00024509803921568627,1.0,0.002604064837131052,0.9999999999999998,0.0009344098964757597,1.0000000000000002
