,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.008139187574671445,0.008139187574671445,0.003677095181054745,0.003677095181054745,0.015448403917823122,0.015448403917823122
1,1-2,0.021654719235364397,0.029793906810035842,0.011591546992254577,0.01526864217330932,0.030256295496089033,0.045704699413912156
2,2-3,0.03412485065710872,0.06391875746714457,0.022402230132715126,0.03767087230602445,0.043704417271056374,0.08940911668496854
3,3-4,0.03681302270011948,0.10073178016726404,0.03512697012292348,0.07279784242894793,0.055239409377676435,0.14464852606264497
4,4-5,0.036738351254480286,0.13747013142174433,0.04870389381735276,0.1215017362463007,0.06444668316722417,0.20909520922986913
5,5-6,0.03419952210274791,0.17166965352449223,0.061965831684998376,0.1834675679312991,0.07107385686765232,0.28016906609752146
6,6-7,0.03502090800477897,0.2066905615292712,0.0737153336748115,0.25718290160611057,0.07503849406791491,0.35520756016543636
7,7-8,0.0480884109916368,0.254778972520908,0.08285041177643312,0.3400333133825437,0.07642039520792034,0.4316279553733567
8,8-9,0.06055854241338112,0.3153375149342891,0.0885076809030582,0.42854099428560194,0.0754404680138042,0.5070684233871608
9,9-10,0.07959976105137395,0.394937275985663,0.09018898453705537,0.5187299788226574,0.0724295729009904,0.5794979962881512
10,10-11,0.08617084826762246,0.4811081242532855,0.08783961456040677,0.6065695933830642,0.0677915426923332,0.6472895389804845
11,11-12,0.09341397849462366,0.5745221027479092,0.08185554845626977,0.6884251418393339,0.06196475545876436,0.7092542944392488
12,12-13,0.09498207885304659,0.6695041816009557,0.07301333371793535,0.7614384755572693,0.05538624098755065,0.7646405354267994
13,13-14,0.09281660692951016,0.7623207885304659,0.06233548245834867,0.8237739580156179,0.04846145506083756,0.813101990487637
14,14-15,0.0884109916367981,0.850731780167264,0.05092072267743881,0.8746946806930568,0.04154174237165664,0.8546437328592936
15,15-16,0.06698028673835126,0.9177120669056152,0.03977676135733134,0.9144714420503881,0.03491032345594966,0.8895540563152433
16,16-17,0.04495221027479092,0.9626642771804061,0.029690559438117013,0.9441620014885052,0.028776558065475435,0.9183306143807187
17,17-18,0.020459976105137397,0.9831242532855435,0.021158625827267914,0.9653206273157731,0.023277385979116612,0.9416080003598354
18,18-19,0.00985663082437276,0.9929808841099163,0.01438214326345644,0.9797027705792295,0.018484297000793147,0.9600922973606285
19,19-20,0.004256272401433692,0.9972371565113499,0.00931503615336221,0.9890178067325917,0.014413946861157519,0.974506244221786
20,20-21,0.001941457586618877,0.9991786140979688,0.0057425662136878775,0.9947603729462795,0.011040578355620778,0.9855468225774068
21,21-22,0.00044802867383512545,0.9996266427718039,0.0033659471644542664,0.9981263201107338,0.0083086584219483,0.9938554809993551
22,22-23,0.0003733572281959379,0.9999999999999999,0.0018736798892663483,1.0000000000000002,0.006144519000644758,0.9999999999999998
