,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.05002986857825568,0.05002986857825568,0.08346351788007426,0.08346351788007426,0.05859053304625886,0.05859053304625886
1,1-2,0.1111111111111111,0.16114097968936678,0.10728697456620472,0.19075049244627898,0.08306906451975575,0.1416595975660146
2,2-3,0.11626344086021505,0.2774044205495818,0.11518128895705397,0.30593178140333294,0.10040744156541383,0.2420670391314284
3,3-4,0.1111857825567503,0.3885902031063321,0.11338489605027156,0.4193166774536045,0.10978712433037902,0.3518541634618074
4,4-5,0.0961021505376344,0.48469235364396646,0.10555323568991087,0.5248699131435154,0.11141722657588372,0.46327139003769113
5,5-6,0.07885304659498207,0.5635454002389485,0.094287027196627,0.6191569403401423,0.10637169271523755,0.5696430827529286
6,6-7,0.06100657108721625,0.6245519713261648,0.08148462870678012,0.7006415690469224,0.09630136199352134,0.66594444474645
7,7-8,0.05421146953405018,0.678763440860215,0.06848803852407867,0.7691296075710011,0.08309721251747279,0.7490416572639228
8,8-9,0.05906511350059737,0.7378285543608124,0.05618608749522924,0.8253156950662304,0.06857914786178214,0.8176208051257049
9,9-10,0.06048387096774194,0.7983124253285543,0.04510780558351365,0.870423500649744,0.054264689310460655,0.8718854944361656
10,10-11,0.05697431302270012,0.8552867383512543,0.035509476836613346,0.9059329774863574,0.04124278385443522,0.9131282782906008
11,11-12,0.051448626045400236,0.9067353643966546,0.02745255038771568,0.933385527874073,0.030149427457616642,0.9432777057482175
12,12-13,0.04129330943847073,0.9480286738351253,0.020869537503600356,0.9542550653776734,0.02122130194347244,0.96449900769169
13,13-14,0.025985663082437275,0.9740143369175627,0.015616555335396453,0.9698716207130698,0.014394343695091103,0.978893351386781
14,14-15,0.016726403823178016,0.9907407407407407,0.011512744360866462,0.9813843650739362,0.0094152607478072,0.9883086121345882
15,15-16,0.007019115890083632,0.9977598566308243,0.008367915861531159,0.9897522809354674,0.0059420100161086875,0.9942506221506969
16,16-17,0.0018667861409796893,0.999626642771804,0.006000406627780266,0.9957526875632476,0.0036198736569171895,0.9978704958076141
17,17-18,0.0003733572281959379,1.0,0.004247312436752244,0.9999999999999999,0.0021295041923859075,1.0
