,Intervalo V [m/s],Real,Acum Real,Weibull,Acum Weibull,Rayleigh,Acum Rayleigh
0,0-1,0.009722222222222222,0.009722222222222222,0.008898081323267368,0.008898081323267368,0.01831458045329175,0.01831458045329175
1,1-2,0.02368827160493827,0.03341049382716049,0.022089574742945064,0.030987656066212434,0.034974844501669676,0.053289424954961424
2,2-3,0.04699074074074074,0.08040123456790124,0.036806831965956945,0.06779448803216938,0.04984395184859467,0.1031333768035561
3,3-4,0.06049382716049383,0.14089506172839505,0.05152229158553044,0.11931677961769982,0.06223792142106939,0.16537129822462548
4,4-5,0.058256172839506175,0.19915123456790124,0.06493495515874088,0.1842517347764407,0.0716762302829835,0.237047528507609
5,5-6,0.05007716049382716,0.2492283950617284,0.07594192407320509,0.2601936588496458,0.07791004137848592,0.3149575698860949
6,6-7,0.04807098765432099,0.2972993827160494,0.0837100185859758,0.3439036774356216,0.08092526289880961,0.39588283278490455
7,7-8,0.05416666666666667,0.3514660493827161,0.08774935255404524,0.43165302998966687,0.08092200249970444,0.476804835284609
8,8-9,0.05393518518518518,0.4054012345679013,0.08795314500689617,0.519606174996563,0.07827496056754778,0.5550797958521567
9,9-10,0.06257716049382717,0.46797839506172845,0.08458849513011191,0.6041946701266749,0.07348134422326277,0.6285611400754195
10,10-11,0.07862654320987654,0.546604938271605,0.07823705309127911,0.6824317232179541,0.06710374075641065,0.6956648808318302
11,11-12,0.08765432098765433,0.6342592592592593,0.06969619849375738,0.7521279217117115,0.059715063652886806,0.755379944484717
12,12-13,0.09583333333333334,0.7300925925925926,0.05985940616659385,0.8119873278783053,0.05185138262968446,0.8072313271144015
13,13-14,0.08989197530864197,0.8199845679012346,0.04959757937547539,0.8615849072537807,0.04397651934141346,0.8512078464558149
14,14-15,0.08016975308641976,0.9001543209876544,0.03966096659114072,0.9012458738449214,0.036460136394204624,0.8876679828500196
15,15-16,0.05,0.9501543209876544,0.030614908252203178,0.9318607820971245,0.029569043665410483,0.91723702651543
16,16-17,0.029166666666666667,0.9793209876543211,0.022814163866348925,0.9546749459634735,0.023469873725763445,0.9407069002411935
17,17-18,0.01273148148148148,0.9920524691358026,0.016412349766467396,0.9710872957299409,0.018240290648141515,0.958947190889335
18,18-19,0.0047067901234567906,0.9967592592592593,0.011397049279988383,0.9824843450099293,0.013885516976385534,0.9728327078657205
19,19-20,0.0015432098765432098,0.9983024691358026,0.007638467861789795,0.9901228128717191,0.010357109343694623,0.9831898172094151
20,20-21,0.0008487654320987654,0.9991512345679013,0.00494004111922186,0.995062853990941,0.007571434546381764,0.9907612517557969
21,21-22,0.00038580246913580245,0.9995370370370371,0.003082262169130314,0.9981451161600713,0.005426021227677107,0.996187272983474
22,22-23,0.000462962962962963,1.0,0.001854883839928736,1.0,0.0038127270165259526,0.9999999999999999
